"","CODE","GVC_Ui","YEAR","BEA_CLASS"
"323","483000",1.78876495361328,"2002","BEA2002"
"324","484000",2.19513893127441,"2002","BEA2002"
"325","485000",1.79061305522919,"2002","BEA2002"
"326","486000",3.05935311317444,"2002","BEA2002"
"327","48A000",2.81361508369446,"2002","BEA2002"
"328","491000",2.57802891731262,"2002","BEA2002"
"329","492000",2.94376111030579,"2002","BEA2002"
"330","493000",2.7523078918457,"2002","BEA2002"
"331","4A0000",1.12504601478577,"2002","BEA2002"
"332","511110",1.07841801643372,"2002","BEA2002"
"333","511120",1.55836403369904,"2002","BEA2002"
"334","511130",1.33391094207764,"2002","BEA2002"
"335","5111A0",1.82026505470276,"2002","BEA2002"
"336","511200",1.26013696193695,"2002","BEA2002"
"337","512100",2.5012640953064,"2002","BEA2002"
"338","512200",1.67850697040558,"2002","BEA2002"
"339","515100",4.0141167640686,"2002","BEA2002"
"340","515200",3.30521106719971,"2002","BEA2002"
"341","516110",3.03370809555054,"2002","BEA2002"
"342","517000",1.94102501869202,"2002","BEA2002"
"343","518100",1.62528502941132,"2002","BEA2002"
"344","518200",2.80474400520325,"2002","BEA2002"
"345","519100",1.77607405185699,"2002","BEA2002"
"346","522A00",2.34463405609131,"2002","BEA2002"
"347","523000",2.15841007232666,"2002","BEA2002"
"348","524100",1.66119396686554,"2002","BEA2002"
"349","524200",2.91480302810669,"2002","BEA2002"
"350","525000",1.1794159412384,"2002","BEA2002"
"351","52A000",2.1094388961792,"2002","BEA2002"
"352","531000",2.00687599182129,"2002","BEA2002"
"353","532100",2.0263659954071,"2002","BEA2002"
"354","532230",1,"2002","BEA2002"
"355","532400",2.8881139755249,"2002","BEA2002"
"356","532A00",1.64234900474548,"2002","BEA2002"
"357","533000",3.30829191207886,"2002","BEA2002"
"358","541100",2.14370894432068,"2002","BEA2002"
"359","541200",2.63802599906921,"2002","BEA2002"
"360","541300",2.26399397850037,"2002","BEA2002"
"361","541400",2.81028199195862,"2002","BEA2002"
"362","541511",1.07317996025085,"2002","BEA2002"
"363","541512",2.20782899856567,"2002","BEA2002"
"364","54151A",2.81205892562866,"2002","BEA2002"
"365","541610",2.87835597991943,"2002","BEA2002"
"366","5416A0",2.72558999061584,"2002","BEA2002"
"367","541700",2.46452188491821,"2002","BEA2002"
"368","541800",2.90979290008545,"2002","BEA2002"
"369","541920",1.65409600734711,"2002","BEA2002"
"370","541940",1.20828902721405,"2002","BEA2002"
"371","5419A0",2.99194097518921,"2002","BEA2002"
"372","550000",2.93048191070557,"2002","BEA2002"
"373","561100",2.78922200202942,"2002","BEA2002"
"374","561200",2.42175793647766,"2002","BEA2002"
"375","561300",2.84722495079041,"2002","BEA2002"
"376","561400",2.73925399780273,"2002","BEA2002"
"377","561500",2.26458597183228,"2002","BEA2002"
"378","561600",2.39354300498962,"2002","BEA2002"
"379","561700",2.60429906845093,"2002","BEA2002"
"380","561900",2.62367796897888,"2002","BEA2002"
"381","562000",2.37648606300354,"2002","BEA2002"
"382","611100",1,"2002","BEA2002"
"383","611A00",1.14885902404785,"2002","BEA2002"
"384","611B00",1.17720103263855,"2002","BEA2002"
"385","621600",1.00026202201843,"2002","BEA2002"
"386","621A00",1.00203704833984,"2002","BEA2002"
"387","621B00",1.18261504173279,"2002","BEA2002"
"388","622000",1.00252103805542,"2002","BEA2002"
"389","623000",1.00462996959686,"2002","BEA2002"
"390","624200",1.00239098072052,"2002","BEA2002"
"391","624400",1.02904999256134,"2002","BEA2002"
"392","624A00",1.01806604862213,"2002","BEA2002"
"393","711100",1.54808402061462,"2002","BEA2002"
"394","711200",2.52996802330017,"2002","BEA2002"
"395","711500",2.99243998527527,"2002","BEA2002"
"396","711A00",2.14094090461731,"2002","BEA2002"
"397","712000",1,"2002","BEA2002"
"398","713940",1.35060501098633,"2002","BEA2002"
"399","713950",1.02243804931641,"2002","BEA2002"
"400","713A00",1.00449502468109,"2002","BEA2002"
"401","713B00",1.34882605075836,"2002","BEA2002"
"402","7211A0",1.92282104492188,"2002","BEA2002"
"403","721A00",1.02160096168518,"2002","BEA2002"
"404","722000",1.38945603370667,"2002","BEA2002"
"405","811192",1.36402201652527,"2002","BEA2002"
"406","8111A0",1.44623398780823,"2002","BEA2002"
